"files","samplesize","R","Rstd","t0","t0std","n","nstd","G","Gstd","avgLS","stdLS","BestModel","longfilename","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex"
"fob1 hst4 sir2_MATalpha_temp30_media_0.05% D_n100.csv",100,0.0035626064126367,0.00051772596264437,88.2841332328938,6.52603870235256,7.58484341306717,0.0722096597639243,0.0748694062255196,0.00582618808216332,41.0033333333333,16.12732348688,"Weib=3",NA,0.393693954780477,0.0567859623410744,0.00396758610624981,-420.9,845.666666666667,2.82281266907494,46.1607639215127,-416.866666666667,838
"fob1 idh2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00289246963087818,0.000570738945997031,50.2334644599945,11.222138272371,7.10161173727138,0.81491948568413,0.123474731639362,0.0140823273887771,33.5833333333333,11.0618059448683,"<2=2:Gomp=1",NA,0.331622628514198,0.103290198310873,0.00239082456130035,-150.8,305.666666666667,3.64116082287654,37.3461808089384,-151.266666666667,306.333333333333
"fob1 los1 sir2_MATalpha_temp30_media_0.05% D_n117.csv",117,0.00356992830928633,0.00052895643453694,81.0746428955625,8.93307928220079,7.62776602254937,0.0509366116589061,0.0823903841203295,0.00875278144203722,38.6353276353277,15.1207047852225,"<2=1:Gomp=2",NA,0.391342559483726,0.0620999594564253,0.00401763939695957,-483.5,971,2.76184096411018,43.2346901837044,-484.733333333333,973.333333333333
"fob1 mkk1_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00267861399363652,0.00120879824988292,44.4069417474404,4.3518991527345,6.65233407911346,0.549671979640966,0.128717538281075,0.0227785031127867,35.6333333333333,9.2348660340905,"<2=1:Weib=2",NA,0.259341723508336,0.113116721371214,0.00128744443960112,-146.633333333333,297.333333333333,4.42635514373996,39.0997912656964,-144.966666666667,294
"fob1 msn2 msn4 pCM225PNC1_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00310796638303736,7.39637264863266e-05,48.5308064611232,9.48889839758028,7.18373821337464,1.01528934637154,0.128017326513869,0.00783799808954133,31.5666666666667,10.304961472512,"Gomp=2:Weib=1",NA,0.328902647586875,0.105616190509738,0.00268694572882001,-148.6,301.333333333333,3.5993424821298,34.9960985985057,-149.2,302.333333333333
"fob1 msn2 msn4 sch9_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00133628245707595,0.000466948007417097,25.7227452995637,4.0227824341593,6.01621016171523,0.00504474784417652,0.198539213298877,0.0338490796012042,33.8916666666667,9.09552669476812,"Gomp=3",NA,0.2689122416967,0.19788592679202,0.000162364248754943,-132.6,269.333333333333,5.41445260486829,36.7530661103137,-141.9,288
"fob1 msn2 msn4 sir2_MATalpha_temp30_media_0.05% D_n39.csv",39,0.00313040234940498,0.000658615661957923,59.1379824500013,7.35737408757653,7.56334156545552,0.114279103856592,0.112025737381531,0.0125864834176503,33.6068376068376,12.2433077491301,"<2=2:Weib=1",NA,0.364689386282101,0.0853176254855927,0.00325036851011363,-151.933333333333,308,3.1629159765631,37.6338779937043,-151.8,307.666666666667
"fob1 msn2 msn4 tor1_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00158117880236487,0.00045397705419602,36.3767500016156,6.69708942761181,6.01798931815243,0.00315898809899717,0.141290907466284,0.0273825844050522,42.05,11.1568120865746,"Gomp=3",NA,0.266496666659942,0.140782290248962,0.000284299893834553,-144.366666666667,293,5.1479712866672,45.7275220675532,-150.833333333333,306
"fob1 msn2 msn4_MATalpha_temp30_media_0.05% D_n140.csv",140,0.00343120739750486,0.00106110076241372,77.0572104471599,4.69373677863753,7.04982848779343,0.888015104929112,0.0782267532843382,0.00699651115621557,41.8476190476191,15.790594501163,"Gomp=3",NA,0.377321213426137,0.0649737454251059,0.00284799568678642,-580.533333333333,1165,2.964832822449,46.8201235217879,-584.9,1174
"fob1 nem1_MATalpha_temp30_media_0.05% D_n80.csv",80,0.00624793704582727,0.00265521398877044,5.00904109319801,6.80543373939053,4.64174331594503,3.04117589660293,1.34879622958144,0.688939160509475,7.74583333333333,2.90878011494628,"Weib=3",NA,0.374362006469915,0.262680669918811,0.0297743500572894,-206.166666666667,416.333333333333,2.87985157630089,8.69038224267618,-196.366666666667,397
