"orf","gene.x","Anno1","Growth1","gene.y","Anno2","Growth2","name.check","essenflag","geneNO","essenflagNumeric"
"YBL073W","YBL073W","verified1","nogrowth1","YBL073W","verified2","nogrowth2","TRUE","essential",26,1
"YBL074C","aar2","verified1","nogrowth1","aar2","verified2","nogrowth2","TRUE","essential",27,1
"YBL075C","SSA3","questionable1","growth1","SSA3","verified2","growth2","TRUE","nonessential",1290,0
"YBL076C","ils1","verified1","nogrowth1","ils1","verified2","nogrowth2","TRUE","essential",28,1
"YBL077W","YBL077W","verified1","nogrowth1","YBL077W","verified2","nogrowth2","TRUE","essential",29,1
"YBL078C","AUT7","verified1","growth1","AUT7","verified2","growth2","TRUE","nonessential",1291,0
"YBL079W","NUP170","verified1","growth1","NUP170","verified2","growth2","TRUE","nonessential",1292,0
"YBL080C","PET112","verified1","growth1","PET112","verified2","growth2","TRUE","nonessential",1293,0
"YBL081W","YBL081W","verified1","growth1","YBL081W","verified2","growth2","TRUE","nonessential",1294,0
"YBL082C","RHK1","verified1","growth1","RHK1","verified2","growth2","TRUE","nonessential",1295,0
"YBL083C","YBL083C","verified1","growth1","YBL083C","verified2","growth2","TRUE","nonessential",1296,0
"YBL084C","cdc27","verified1","nogrowth1","cdc27","verified2","nogrowth2","TRUE","essential",30,1
"YBL085W","BOI1","verified1","growth1","BOI1","verified2","growth2","TRUE","nonessential",1297,0
"YBL086C","YBL086C","verified1","growth1","YBL086C","verified2","growth2","TRUE","nonessential",1298,0
"YBL087C","RPL23A","verified1","growth1","RPL23A","verified2","growth2","TRUE","nonessential",1299,0
"YBL088C","tel1","verified1","growth1","tel1","verified2","growth2","TRUE","nonessential",1300,0
"YBL089W","YBL089W","verified1","growth1","YBL089W","verified2","growth2","TRUE","nonessential",1301,0
"YBL090W","MRP21","verified1","growth1","MRP21","verified2","growth2","TRUE","nonessential",1302,0
"YBL091C","MAP2","verified1","growth1","MAP2","verified2","growth2","TRUE","nonessential",1303,0
"YBL091C-A","YBL091C-A","verified1","growth1","YBL091C-A","verified2","growth2","TRUE","nonessential",1304,0
"YBL092W","RPL32","verified1","nogrowth1","RPL32","verified2","growth2","TRUE","abnormal",1305,0
"YBL093C","ROX3","verified1","growth1","ROX3","verified2","growth2","TRUE","nonessential",1306,0
"YBL094C","YBL094C","verified1","growth1","YBL094C","verified2","growth2","TRUE","nonessential",1307,0
"YBL095W","YBL095W","verified1","growth1","YBL095W","verified2","growth2","TRUE","nonessential",1308,0
"YBL096C","YBL096C","verified1","growth1","YBL096C","verified2","growth2","TRUE","nonessential",1309,0
"YBL097W","BRN1","verified1","nogrowth1","BRN1","verified2","nogrowth2","TRUE","essential",31,1
"YBL098W","YBL098W","verified1","growth1","YBL098W","verified2","growth2","TRUE","nonessential",1310,0
"YBL099W","ATP1","verified1","growth1","ATP1","verified2","growth2","TRUE","nonessential",1311,0
"YBL100C","YBL100C","verified1","growth1","YBL100C","verified2","growth2","TRUE","nonessential",1312,0
"YBL101C","ECM21","verified1","growth1","ECM21","verified2","growth2","TRUE","nonessential",1313,0
"YBL102W","SFT2","verified1","growth1","SFT2","verified2","growth2","TRUE","nonessential",1314,0
"YBL103C","RTG3","verified1","nogrowth1","RTG3","verified2","nogrowth2","TRUE","essential",32,1
"YBL104C","YBL104C","verified1","growth1","YBL104C","verified2","growth2","TRUE","nonessential",1315,0
"YBL105C","pkc1","verified1","nogrowth1","pkc1","verified2","nogrowth2","TRUE","essential",33,1
"YBL106C","SRO77","verified1","growth1","SRO77","verified2","growth2","TRUE","nonessential",1316,0
"YBL107C","YBL107C","verified1","growth1","YBL107C","verified2","growth2","TRUE","nonessential",1317,0
"YBR001C","NTH2","verified1","growth1","NTH2","verified2","growth2","TRUE","nonessential",1318,0
"YBR002C","RER2","verified1","nogrowth1","RER2","verified2","nogrowth2","TRUE","essential",34,1
"YBR003W","COQ1","verified1","growth1","COQ1","verified2","growth2","TRUE","nonessential",1319,0
"YBR004C","YBR004C","verified1","nogrowth1","YBR004C","verified2","nogrowth2","TRUE","essential",35,1
