"","orf","gene.x","Anno1","Growth1","gene.y","Anno2","Growth2","name.check","essenflag"
"180","YBL089W","YBL089W","verified1","growth1","YBL089W","verified2","growth2",TRUE,"nonessential"
"181","YBL090W","MRP21","verified1","growth1","MRP21","verified2","growth2",TRUE,"nonessential"
"182","YBL091C","MAP2","verified1","growth1","MAP2","verified2","growth2",TRUE,"nonessential"
"183","YBL091C-A","YBL091C-A","verified1","growth1","YBL091C-A","verified2","growth2",TRUE,"nonessential"
"184","YBL092W","RPL32","verified1","nogrowth1","RPL32","verified2","growth2",TRUE,"abnormal"
"185","YBL093C","ROX3","verified1","growth1","ROX3","verified2","growth2",TRUE,"nonessential"
"186","YBL094C","YBL094C","verified1","growth1","YBL094C","verified2","growth2",TRUE,"nonessential"
"187","YBL095W","YBL095W","verified1","growth1","YBL095W","verified2","growth2",TRUE,"nonessential"
"188","YBL096C","YBL096C","verified1","growth1","YBL096C","verified2","growth2",TRUE,"nonessential"
"189","YBL097W","BRN1","verified1","nogrowth1","BRN1","verified2","nogrowth2",TRUE,"essential"
"190","YBL098W","YBL098W","verified1","growth1","YBL098W","verified2","growth2",TRUE,"nonessential"
"191","YBL099W","ATP1","verified1","growth1","ATP1","verified2","growth2",TRUE,"nonessential"
"192","YBL100C","YBL100C","verified1","growth1","YBL100C","verified2","growth2",TRUE,"nonessential"
"193","YBL101C","ECM21","verified1","growth1","ECM21","verified2","growth2",TRUE,"nonessential"
"194","YBL102W","SFT2","verified1","growth1","SFT2","verified2","growth2",TRUE,"nonessential"
"195","YBL103C","RTG3","verified1","nogrowth1","RTG3","verified2","nogrowth2",TRUE,"essential"
"196","YBL104C","YBL104C","verified1","growth1","YBL104C","verified2","growth2",TRUE,"nonessential"
"197","YBL105C","pkc1","verified1","nogrowth1","pkc1","verified2","nogrowth2",TRUE,"essential"
"198","YBL106C","SRO77","verified1","growth1","SRO77","verified2","growth2",TRUE,"nonessential"
"199","YBL107C","YBL107C","verified1","growth1","YBL107C","verified2","growth2",TRUE,"nonessential"
"200","YBR001C","NTH2","verified1","growth1","NTH2","verified2","growth2",TRUE,"nonessential"
"201","YBR002C","RER2","verified1","nogrowth1","RER2","verified2","nogrowth2",TRUE,"essential"
"202","YBR003W","COQ1","verified1","growth1","COQ1","verified2","growth2",TRUE,"nonessential"
"203","YBR004C","YBR004C","verified1","nogrowth1","YBR004C","verified2","nogrowth2",TRUE,"essential"
"204","YBR005W","YBR005W","verified1","growth1","YBR005W","verified2","growth2",TRUE,"nonessential"
"205","YBR006W","UGA2","verified1","growth1","UGA2","verified2","growth2",TRUE,"nonessential"
"206","YBR007C","YBR007C","verified1","growth1","YBR007C","verified2","growth2",TRUE,"nonessential"
"207","YBR008C","FLR1","verified1","growth1","FLR1","verified2","growth2",TRUE,"nonessential"
"208","YBR009C","HHF1","verified1","growth1","HHF1","verified2","growth2",TRUE,"nonessential"
"209","YBR010W","HHT1","verified1","growth1","HHT1","verified2","growth2",TRUE,"nonessential"
"210","YBR011C","ipp1","verified1","nogrowth1","ipp1","verified2","nogrowth2",TRUE,"essential"
"211","YBR012C","YBR012C","verified1","growth1","YBR012C","verified2","growth2",TRUE,"nonessential"
"212","YBR013C","YBR013C","verified1","growth1","YBR013C","verified2","growth2",TRUE,"nonessential"
"213","YBR014C","YBR014C","verified1","growth1","YBR014C","verified2","growth2",TRUE,"nonessential"
"214","YBR015C","mnn2","verified1","growth1","mnn2","verified2","growth2",TRUE,"nonessential"
"215","YBR016W","YBR016W","verified1","growth1","YBR016W","verified2","growth2",TRUE,"nonessential"
"216","YBR017C","KAP104","verified1","nogrowth1","KAP104","verified2","nogrowth2",TRUE,"essential"
"217","YBR018C","gal7","verified1","growth1","gal7","verified2","growth2",TRUE,"nonessential"
"218","YBR019C","gal10","verified1","growth1","gal10","verified2","growth2",TRUE,"nonessential"
"219","YBR020W","gal1","verified1","growth1","gal1","verified2","growth2",TRUE,"nonessential"
"220","YBR021W","fur4","verified1","nogrowth1","fur4","verified2","nogrowth2",TRUE,"essential"
"221","YBR022W","YBR022W","verified1","growth1","YBR022W","verified2","growth2",TRUE,"nonessential"
"222","YBR023C","chs3","verified1","growth1","chs3","verified2","growth2",TRUE,"nonessential"
"223","YBR024W","SCO2","verified1","growth1","SCO2","verified2","growth2",TRUE,"nonessential"
"224","YBR025C","YBR025C","verified1","growth1","YBR025C","verified2","growth2",TRUE,"nonessential"
"225","YBR026C","MRF1","verified1","growth1","MRF1","verified2","growth2",TRUE,"nonessential"
"226","YBR027C","YBR027C","verified1","growth1","YBR027C","verified2","growth2",TRUE,"nonessential"
"227","YBR028C","YBR028C","verified1","growth1","YBR028C","verified2","growth2",TRUE,"nonessential"
"228","YBR029C","CDS1","verified1","nogrowth1","CDS1","verified2","nogrowth2",TRUE,"essential"
"229","YBR030W","YBR030W","verified1","growth1","YBR030W","verified2","growth2",TRUE,"nonessential"
"230","YBR031W","RPL4A","verified1","growth1","RPL4A","verified2","growth2",TRUE,"nonessential"
"231","YBR032W","YBR032W","verified1","growth1","YBR032W","verified2","growth2",TRUE,"nonessential"
