gene	orf	no. of probes	measurments	F-statistic	-log(p-value)	difference	YPD	YPG	YPD0.1DNP	YPD0.25DNP	YPG0.25DNP	YPG0.1DNP
YBL044W	YBL044W	2	26	10.86994	4.21035	0.03852	0.96590	0.98705	0.96502	0.95548	0.95504	0.99355
COR1	YBL045C	4	52	4.80840	2.83841	0.03222	0.99907	0.98346	0.99591	0.99053	0.96686	0.96828
YBL046W	YBL046W	4	52	43.24590	14.77650	0.12328	0.96212	1.06693	0.97360	0.95842	1.05728	1.08170
YBL047C	YBL047C	4	36	19.40772	7.31121	0.39577	0.75696	0.56175	0.78667	0.68391	0.46259	0.39089
YBL048W	YBL048W	3	39	1.20543	0.48080	0.03233	0.98749	0.97979	0.98692	0.99335	0.99221	1.01212
YBL049W	YBL049W	2	26	0.33089	0.05175	0.01353	0.99269	0.98454	0.98537	0.98513	0.98156	0.97917
SEC17	YBL050W	4	52	9.90868	5.58377	0.05241	0.99392	0.96223	0.99933	0.99765	0.94692	0.99262
YBL051C	YBL051C	4	52	6.11086	3.61180	0.06215	0.99658	0.97492	1.00152	0.99241	0.93937	0.97371
SAS3	YBL052C	3	39	3.26761	1.74658	0.03828	0.98751	0.96248	1.00076	0.97939	0.96325	0.96466
YBL053W	YBL053W	2	26	2.22499	1.01555	0.04738	1.00560	0.98095	1.01453	0.97074	0.96715	0.97982
YBL054W	YBL054W	3	39	3.26371	1.74426	0.03828	1.00652	0.98542	1.01596	0.99179	0.97768	0.98251
YBL055C	YBL055C	2	26	6.36979	2.84497	0.04111	1.00166	0.99037	1.00411	0.97031	0.96301	0.97569
PTC3	YBL056W	4	52	13.36645	7.08558	0.04724	0.97671	0.97203	0.98991	0.94267	0.94576	0.95776
YBL057C	YBL057C	4	52	2.24412	1.17086	0.02970	1.00308	0.98038	0.98953	0.97424	0.97338	0.99165
SHP1	YBL058W	2	26	9.17560	3.74895	0.05492	0.99633	1.00991	0.99067	1.02439	1.03113	1.04559
YBL059W	YBL059W	3	39	4.54392	2.47613	0.03765	1.00071	0.98969	1.00768	0.97901	0.97004	0.98435
YBL060W	YBL060W	3	39	7.89106	4.11411	0.04588	0.99083	0.97018	1.00245	0.95937	0.95657	0.97372
SKT5	YBL061C	4	52	2.87792	1.59624	0.02691	0.99849	0.98113	0.99030	0.97944	0.97157	0.97696
YBL062W	YBL062W	4	52	5.52245	3.26909	0.06082	0.92808	0.95692	0.93151	0.92100	0.93949	0.98182
KIP1	YBL063W	4	47	2.20519	1.12804	0.03571	0.97170	0.97612	0.98949	0.95806	0.95378	0.97148
YBL064C	YBL064C	4	52	4.57299	2.69284	0.03691	0.98797	0.97229	0.98566	0.96397	0.95106	0.96276
YBL065W	YBL065W	4	52	3.07673	1.72866	0.03148	0.95850	0.93882	0.96953	0.95143	0.93804	0.94355
SEF1	YBL066C	4	52	13.55992	7.16295	0.06955	1.00701	0.96018	1.00543	0.98343	0.93746	0.96271
UBP13	YBL067C	4	52	6.15121	3.63490	0.08452	0.89848	0.92487	0.95215	0.91982	0.86763	0.92050
PRS4	YBL068W	4	52	0.77194	0.24005	0.01562	1.00954	0.99628	0.99922	1.00234	1.00048	0.99392
AST1	YBL069W	4	38	35.18027	10.50988	0.48027	0.79673	0.53342	0.72049	0.67639	0.31646	0.49406
YBL070C	YBL070C	2	26	1.96148	0.87390	0.02954	0.99066	0.99361	1.00589	0.99000	0.97635	0.97749
YBL071C	YBL071C	4	46	5.83423	3.31875	0.05769	0.97571	0.94397	0.99270	0.96608	0.93501	0.93877
RPS8A	YBL072C	3	39	1.72982	0.80082	0.04039	0.96959	0.97854	0.96424	0.97079	0.98283	1.00462
YBL073W	YBL073W	4	52	5.39728	3.19477	0.04817	1.00341	0.97998	0.99040	0.98340	0.95524	0.98482
aar2	YBL074C	4	52	19.85190	9.38225	0.06077	1.00908	0.96494	0.99854	0.96417	0.94830	0.96278
SSA3	YBL075C	1	7	0.00000	0.00000	0.22366	0.69577	0.66254	0.75717	0.76595	0.60577	0.54229
ils1	YBL076C	4	52	4.88071	2.88277	0.03517	0.98434	0.95302	0.98526	0.96028	0.95009	0.96634
YBL077W	YBL077W	3	39	5.11021	2.78018	0.04882	0.99891	0.97411	1.00529	0.96231	0.95647	0.98357
AUT7	YBL078C	4	52	3.98278	2.32023	0.03468	1.00697	0.97321	1.00789	0.98329	0.98518	0.99831
NUP170	YBL079W	4	52	10.75284	5.97290	0.04591	1.00356	0.95766	0.99725	0.95825	0.96118	0.96335
PET112	YBL080C	3	39	5.21670	2.83604	0.03548	0.99098	1.01426	0.99219	0.98884	1.01470	1.02432
YBL081W	YBL081W	2	26	2.21795	1.01180	0.02993	0.98888	0.99412	0.98267	1.01260	0.99021	0.98586
RHK1	YBL082C	2	26	17.92516	5.70389	0.04182	0.99636	0.98867	0.99357	0.98815	0.96774	0.95454
YBL083C	YBL083C	2	26	14.12072	4.96894	0.08849	0.97589	0.93049	1.00341	0.93759	0.91492	0.98752
cdc27	YBL084C	4	52	13.22594	7.02899	0.05413	0.98104	1.01265	0.99187	1.00808	1.03517	1.02920
BOI1	YBL085W	3	39	0.87047	0.29036	0.02993	0.98916	0.96572	0.99564	0.99287	0.98125	0.98984
YBL086C	YBL086C	4	52	87.66882	20.38385	0.14992	1.00879	0.85887	1.00283	0.99627	0.87634	0.93695
RPL23A	YBL087C	2	20	105.25459	8.75727	0.52522	0.83328	0.41026	0.82547	0.85447	0.32925	0.34356
tel1	YBL088C	3	39	5.46036	2.96230	0.07169	0.98174	0.98481	0.97014	1.02701	0.98934	1.04183
YBL089W	YBL089W	4	52	1.61183	0.74973	0.02008	0.99635	0.98661	1.00669	1.00125	0.99179	0.98665
