gene	orf	no. of probes	measurments	F-statistic	-log(p-value)	difference	YPD	YPG	YPD0.1DNP	YPD0.25DNP	YPG0.25DNP	YPG0.1DNP
SAS2	YMR127C	4	52	2.56502	1.38661	0.03675	1.02742	1.01640	1.01575	1.00001	1.00059	0.99067
ECM16	YMR128W	4	52	1.41580	0.62277	0.02661	1.01575	0.99905	1.01230	1.00672	0.98913	1.01225
POM152	YMR129W	3	39	1.43594	0.61954	0.01966	0.98836	0.99338	0.99276	1.00598	1.00078	1.00802
YMR130W	YMR130W	3	39	1.81426	0.85337	0.02653	0.99328	0.99533	0.98649	1.01302	1.00703	1.00043
Rsa2	YMR131C	4	52	2.38282	1.26413	0.04551	0.99621	1.01031	0.98953	1.02665	1.01452	1.03504
YMR132C	YMR132C	2	26	1.15807	0.43511	0.03509	0.96289	0.96949	0.98170	0.97761	0.97776	0.99797
REC114	YMR133W	3	39	1.51535	0.66817	0.02430	0.98500	0.98662	0.98458	1.00805	1.00887	1.00561
YMR134W	YMR134W	4	52	7.93967	4.61021	0.05834	0.99137	1.00043	0.98063	1.03897	1.02348	1.03564
YMR135C	YMR135C	4	52	1.54724	0.70760	0.02732	1.01369	0.99680	1.01415	0.99543	0.99577	0.98683
YMR135W-A	YMR135W-A	4	52	2.13768	1.09935	0.03090	1.00898	1.01472	1.00676	1.01332	1.02144	0.99054
GAT2	YMR136W	2	26	3.91059	1.84907	0.01301	1.01149	1.00043	1.01295	1.00711	1.00895	0.99994
PSO2	YMR137C	4	52	3.89486	2.26381	0.03439	1.01601	1.00869	1.02349	0.98910	1.01156	0.99668
cin4	YMR138W	4	52	3.85374	2.23734	0.02637	1.01677	1.01106	1.01985	1.00120	0.99348	0.99842
RIM11	YMR139W	4	52	3.06347	1.71984	0.04079	1.00969	1.02597	1.01137	0.98518	1.01314	1.00606
YMR140W	YMR140W	4	52	5.21206	3.08388	0.03642	0.98627	0.98624	0.99932	0.99551	0.98582	1.02224
YMR141C	YMR141C	4	52	5.70698	3.37774	0.06109	0.98081	0.98632	0.99472	1.00724	0.99726	1.04190
RPL13B	YMR142C	4	52	18.89995	9.07871	0.12746	0.76777	0.86862	0.81357	0.80416	0.84624	0.89522
RPS16A	YMR143W	4	52	31.18931	12.38939	0.07587	0.91944	0.98038	0.93099	0.92110	0.97557	0.99531
YMR144W	YMR144W	4	52	3.19797	1.80901	0.02208	0.98261	0.98498	1.00318	0.99676	0.98684	1.00470
YMR145C	YMR145C	4	52	6.10193	3.60668	0.05023	0.99162	0.99334	0.98440	0.97767	1.00264	1.02790
TIF34	YMR146C	3	39	4.80554	2.61808	0.06234	0.94531	0.97008	0.96236	0.97670	0.98601	1.00765
YMR147W	YMR147W	4	52	5.08561	3.00755	0.06302	0.97409	0.98159	0.99453	1.01213	1.00090	1.03710
YMR148W	YMR148W	3	39	0.87895	0.29494	0.01384	0.98147	0.98100	0.99283	0.98499	0.98426	0.99484
SWP1	YMR149W	4	52	1.41422	0.62176	0.01841	0.98028	0.98807	0.99579	0.98076	0.98894	0.99869
IMP1	YMR150C	4	52	3.02461	1.69402	0.02557	0.98561	0.98287	1.00571	0.99819	0.98922	1.00844
YIM2	YMR151W	4	52	2.99869	1.67677	0.03219	1.00096	1.00471	1.03085	1.00114	0.99866	1.02363
YIM1	YMR152W	3	35	7.75818	3.85153	0.05787	0.97698	0.98412	1.00650	0.96182	0.97717	1.01969
YMR153C-A	YMR153C-A	4	52	1.58898	0.73480	0.01582	0.98656	0.99001	1.00230	0.98899	1.00238	1.00165
NUP53	YMR153W	4	52	6.65608	3.91977	0.05710	0.97684	0.98172	0.98796	1.00223	1.00082	1.03395
RIM13	YMR154C	4	51	1.59872	0.73978	0.03095	1.00648	1.00578	1.01437	1.01534	1.02060	1.03673
YMR155W	YMR155W	4	52	4.51683	2.65785	0.03112	0.98941	0.99384	1.00686	0.97574	0.99336	1.00236
TPP1	YMR156C	4	52	2.38640	1.26654	0.01802	0.98540	0.99536	1.00233	0.98430	0.99740	0.98607
YMR157C	YMR157C	4	52	4.47983	2.63475	0.02974	0.98297	0.98746	0.99043	0.98221	0.98354	1.01194
YMR158C-B	YMR158C-B	2	26	2.30014	1.05548	0.04297	1.04117	1.03557	1.02366	1.01333	1.02629	0.99820
YMR158W	YMR158W	4	52	11.70932	6.39544	0.07322	1.00028	0.94035	0.99365	0.98919	0.92706	0.95527
YMR158W-A	YMR158W-A	4	52	4.20331	2.46072	0.02419	0.98132	0.99004	1.00084	0.97998	0.98458	1.00417
APG16	YMR159C	4	52	2.17014	1.12115	0.01930	0.98524	0.99860	0.99312	0.99194	0.99291	1.00454
YMR160W	YMR160W	8	104	2.57595	1.49881	0.02151	1.00111	1.00855	1.00777	0.98704	1.00389	1.00429
HLJ1	YMR161W	3	39	9.63806	4.83818	0.06283	0.98009	0.98491	1.02948	0.96666	0.97957	1.00936
YMR162C	YMR162C	2	26	1.82703	0.80079	0.01977	0.97716	0.98922	0.99591	0.98369	0.98645	0.97614
YMR163C	YMR163C	4	52	3.77813	2.18855	0.02579	0.98592	0.99032	1.00895	0.99040	0.98974	1.01171
MSS11	YMR164C	2	26	3.46606	1.64223	0.02662	0.98341	0.99392	1.00092	0.98266	0.98890	0.97430
SMP2	YMR165C	4	52	9.15141	5.22077	0.05344	0.98208	0.98375	1.00314	0.99000	0.98429	1.03552
YMR166C	YMR166C	2	26	5.90039	2.67210	0.05593	0.95670	0.95164	1.00400	1.00757	0.95732	0.99821
MLH1	YMR167W	3	37	7.50968	3.85157	0.07437	0.98106	0.96402	1.00405	0.96488	0.92968	0.95214
CEP3	YMR168C	0	0									
ALD3	YMR169c	6	78	3.22422	1.93854	0.03156	0.99652	1.00810	1.00590	0.98179	1.00052	1.01335
ALD2	YMR170C	2	26	3.22106	1.52426	0.04138	1.01281	0.99883	1.00571	0.99595	0.99738	0.97143
YMR171C	YMR171C	3	39	1.64537	0.74841	0.03472	0.97921	0.98942	0.99867	0.98999	0.98577	1.01393
YMR172C-A	YMR172C-A	2	26	10.88742	4.21484	0.05564	0.99040	0.97291	1.00362	0.97479	0.94798	0.98150
HOT1	YMR172W	4	52	3.95635	2.30329	0.03361	0.97797	0.98345	0.99775	0.99291	1.00106	1.01158
DDR48	YMR173W	8	104	1.70026	0.84578	0.02611	1.00111	1.00425	1.01345	0.99748	0.98734	1.00978
YMR173W-A	YMR173W-A	4	52	6.99172	4.10490	0.05302	1.00017	0.96957	1.01255	0.95953	0.97174	1.00002
PAI3	YMR174c	8	104	1.12947	0.45519	0.01581	1.00084	1.00426	1.01189	0.99819	1.00156	0.99608
SIP18	YMR175w	8	104	3.87202	2.49765	0.02226	1.01728	1.01143	1.01549	0.99502	0.99889	1.00415
ECM5	YMR176W	4	52	5.67744	3.36042	0.02762	0.98933	0.98974	1.01695	0.99107	0.99278	1.00957
MMT1	YMR177W	4	52	20.00896	9.43139	0.06217	0.98000	0.98981	0.99414	1.00245	0.98019	1.04218
YMR178W	YMR178W	4	52	5.44671	3.22418	0.02836	0.98521	0.97528	1.00227	0.97867	0.99174	1.00364
spt21	YMR179W	4	52	9.57831	5.42708	0.04799	0.99666	0.98923	1.02139	0.97340	0.98717	1.00232
CTL1	YMR180C	4	52	2.48758	1.33457	0.03206	0.97831	0.98888	1.00450	0.97790	0.98675	1.00996
YMR181C	YMR181C	3	39	3.96588	2.15331	0.03744	0.97835	0.98657	0.99247	0.96990	0.99931	1.00735
RGM1	YMR182C	4	52	8.56054	4.92779	0.06457	0.97728	0.98662	0.97658	0.94871	0.99013	1.01328
SSO2	YMR183C	4	52	4.97744	2.94184	0.02942	0.99358	0.98391	1.01333	0.99929	0.99267	1.00505
YMR184W	YMR184W	2	26	2.31237	1.06196	0.02240	0.98611	0.99806	1.00399	1.00637	0.99752	1.00852
YMR185W	YMR185W	8	104	1.52074	0.71838	0.01582	1.00123	1.00193	1.00470	0.98888	1.00225	1.00374
HSC82	YMR186W	4	52	5.99457	3.54493	0.03428	0.99139	0.98239	1.00788	0.98763	0.98280	1.01667
YMR187C	YMR187C	4	52	6.96696	4.09136	0.04322	0.99191	0.98437	1.01228	0.96906	0.98045	1.00033
YMR188C	YMR188C	4	52	26.32547	11.21745	0.06675	0.99450	0.95395	1.00463	1.00755	0.94756	0.94081
GCV2	YMR189W	2	26	3.26337	1.54484	0.03517	0.99208	1.00165	1.00768	0.97250	0.98263	1.00015
SGS1	YMR190C	4	52	4.28035	2.50944	0.03141	0.99220	0.97263	0.99532	0.98347	0.98137	1.00404
YMR191W	YMR191W	7	91	2.55600	1.46850	0.02828	1.00856	1.00025	1.01398	1.01602	0.99773	1.02601
YMR192W	YMR192W	4	52	7.90942	4.59447	0.03656	0.98412	0.98517	1.01103	0.97447	0.98444	0.99942
YMR193C-A	YMR193C-A	4	52	8.06495	4.67512	0.05506	0.95381	0.97756	0.98042	0.96038	0.98911	1.00887
MRPL24	YMR193W	2	26	77.75205	10.82094	0.11843	0.98125	0.94879	1.01092	1.00035	0.89250	0.91720
YMR194C-A	YMR194C-A	4	52	2.72859	1.49635	0.03287	1.01222	1.00731	1.01469	0.99970	0.99102	0.98182
RPL36A	YMR194W	4	52	24.52641	10.74305	0.06254	0.95649	0.99149	0.98789	0.96120	1.00612	1.01903
ICY1	YMR195W	4	52	3.34241	1.90431	0.03231	0.99360	0.98142	1.01373	0.98172	0.98982	1.00162
YMR196W	YMR196W	4	52	4.62956	2.72798	0.04320	0.99393	0.99687	1.01367	0.97300	0.98791	1.01619
VTI1	YMR197C	4	50	12.27810	6.51823	0.04786	0.98227	0.97313	1.01939	0.98559	0.98144	1.02099
CIK1	YMR198W	6	78	2.36108	1.30632	0.02565	0.98753	0.99636	1.00551	0.99413	0.98933	1.01318
CLN1	YMR199W	4	52	5.46978	3.23788	0.02400	0.99822	0.98828	1.01228	0.98968	0.99934	1.00830
ROT1	YMR200W	4	52	4.13286	2.41600	0.03305	1.00310	0.98020	1.00034	0.99372	0.98894	1.01324
RAD14	YMR201C	2	26	2.03534	0.91385	0.03094	0.97906	0.98930	0.99677	1.01000	0.99680	1.00029
ERG2	YMR202W	4	52	3.35853	1.91491	0.03658	0.99895	0.98839	1.01083	0.98270	0.97425	1.01044
TOM40	YMR203W	4	52	14.40588	7.49395	0.06453	0.97575	0.95682	0.99377	0.97860	0.94357	1.00810
YMR204C	YMR204C	4	52	9.46400	5.37227	0.03969	1.00867	0.98664	1.02632	0.99420	0.99856	1.01619
pfk2	YMR205C	4	52	7.65898	4.46322	0.07497	0.97356	0.96579	0.98934	0.98047	0.98045	1.04077
YMR206W	YMR206W	2	26	7.45320	3.21825	0.03679	0.99283	1.00959	1.01761	1.02767	1.01204	1.02962
HFA1	YMR207C	2	26	14.58437	5.06619	0.10377	0.96877	0.98352	0.97021	1.03455	1.00834	1.07254
erg12	YMR208W	4	52	4.64831	2.73961	0.03716	0.99124	0.98465	1.01337	0.98948	0.98973	1.02181
YMR209C	YMR209C	4	52	3.14957	1.77697	0.04863	0.98767	1.00064	1.03630	1.01205	1.00475	1.01892
YMR210W	YMR210W	2	26	9.74212	3.90922	0.08076	0.96704	0.98511	0.98793	1.00897	1.01060	1.04780
YMR211W	YMR211W	4	52	7.21459	4.22600	0.05543	0.98493	0.98696	1.00105	1.01934	1.00126	1.04036
CEF1	YMR213W	4	52	4.44610	2.61365	0.03109	0.98856	0.99570	1.00459	1.00161	1.00415	1.01965
SCJ1	YMR214W	4	52	1.94216	0.96840	0.01883	1.00356	0.99050	1.00932	0.99247	0.99164	1.00451
YMR215W	YMR215W	4	52	3.18580	1.80096	0.03142	0.99189	0.97932	1.01074	0.98068	0.98454	1.00591
SKY1	YMR216C	3	39	1.37972	0.58533	0.02847	0.99218	0.96371	0.98052	0.97356	0.97265	0.98809
GUA1	YMR217W	4	52	3.15047	1.77757	0.02389	1.00351	0.99877	1.01687	0.99298	0.99560	1.00415
TRS130	YMR218C	4	52	7.95353	4.61741	0.04810	1.00377	0.97735	0.99985	0.96833	0.97014	1.01643
ESC1	YMR219W	4	52	5.11009	3.02236	0.04839	0.99480	0.99237	1.00722	0.97170	0.98688	1.02008
ERG8	YMR220W	4	52	2.22336	1.15691	0.02191	0.99679	0.99619	0.99930	0.99074	1.00584	1.01265
YMR221C	YMR221C	4	52	3.71024	2.14460	0.04397	0.98324	0.98984	1.01749	0.97352	0.97809	1.00256
YMR222C	YMR222C	4	52	11.98852	6.51531	0.05207	0.97549	0.98509	1.02130	0.96923	0.98029	1.00918
UBP8	YMR223W	2	26	3.03389	1.43220	0.03367	0.98981	0.97656	1.00320	1.00963	0.99732	1.01022
MRE11	YMR224C	2	26	5.74110	2.61176	0.06445	0.98283	0.97441	1.00314	0.97978	0.99488	1.03887
MRPL44	YMR225C	4	52	5.52443	3.27026	0.03100	0.99159	0.96949	0.99648	0.98257	0.98732	1.00050
YMR226C	YMR226C	4	52	3.31267	1.88473	0.03472	0.99548	0.98851	1.01466	1.00081	1.00543	1.02322
TAF67	YMR227C	2	26	4.54404	2.12843	0.04409	0.98601	0.99784	1.00309	0.95901	0.97754	0.99575
mtf1	YMR228W	4	52	5.45331	3.22810	0.03382	0.98766	0.98422	1.00632	0.97395	0.99104	1.00777
RRP5	YMR229C	3	37	6.60395	3.44907	0.04119	0.98992	1.00190	1.01614	0.97495	1.00829	1.00872
RPS10B	YMR230W	4	52	49.03786	15.73395	0.10449	0.94609	1.01024	0.96471	0.95192	1.01993	1.05058
pep5	YMR231W	4	52	2.19964	1.14097	0.02825	0.98362	0.99351	0.99138	0.98934	0.98787	1.01187
fus2	YMR232W	4	52	2.06994	1.05391	0.02064	0.98427	0.99807	1.00065	0.98422	0.98962	1.00486
YMR233W	YMR233W	4	52	6.12255	3.61850	0.06326	0.96955	0.96913	0.98522	0.97620	0.97341	1.03239
rnh1	YMR234W	4	52	2.66201	1.45172	0.02524	0.97659	0.98547	0.98252	0.99247	1.00183	0.99258
rna1	YMR235C	4	52	4.57189	2.69216	0.02777	0.98165	1.00170	0.99219	1.00476	1.00942	1.00505
TAF17	YMR236W	4	52	4.39874	2.58396	0.03708	0.97416	0.99855	0.99762	0.98334	0.99236	1.01124
YMR237W	YMR237W	4	52	2.65660	1.44809	0.01995	0.98181	0.99838	0.99440	0.99736	1.00176	0.99564
DFG5	YMR238W	4	52	2.19115	1.13526	0.02402	0.98560	0.99888	1.00294	0.97892	0.98756	0.99401
RNT1	YMR239C	4	52	0.97051	0.34985	0.02299	0.98767	0.99994	1.00011	0.99410	0.99049	1.01065
CUS1	YMR240C	4	52	0.98024	0.35548	0.01451	0.99090	0.98647	0.99283	0.98591	0.98827	1.00042
YHM2	YMR241W	2	26	1.65416	0.70619	0.03559	0.97201	0.98976	0.97053	0.99983	0.99274	1.00612
RPL20A	YMR242C	4	52	33.30939	12.85681	0.11012	0.87790	0.94305	0.88504	0.85516	0.94504	0.96528
ZRC1	YMR243C	2	26	2.80313	1.31641	0.02308	0.98074	0.98243	0.99520	0.99293	0.99367	1.00383
YMR244C-A	YMR244C-A	2	26	1.85271	0.81479	0.02509	0.97935	0.98557	0.97959	1.00444	0.99606	0.98719
YMR244W	YMR244W	4	52	2.80185	1.54540	0.02551	0.99167	0.99827	1.00062	0.97511	0.99388	0.98893
YMR245W	YMR245W	4	52	2.33978	1.23519	0.03373	0.99625	0.98800	1.00995	0.98597	0.97622	1.00858
FAA4	YMR246W	4	52	4.97664	2.94135	0.03456	0.97738	0.97749	1.00216	0.97429	0.97328	1.00784
YMR247C	YMR247C	4	52	2.86768	1.58941	0.01662	0.98013	0.99506	0.99396	0.97843	0.99091	0.98385
GAD1	YMR250W	2	26	16.86561	5.51259	0.10284	0.98598	1.05523	1.02839	0.96733	1.01584	1.07016
YMR251W	YMR251W	4	52	3.32487	1.89276	0.04635	0.98222	0.98775	0.99299	0.99508	0.98937	1.02857
HOR7	YMR251W-A	4	52	6.92158	4.06649	0.02888	0.99624	1.00283	1.01063	0.98175	0.98314	0.99671
YMR252C	YMR252C	4	52	4.62387	2.72445	0.02810	0.98420	0.99359	1.00101	0.97291	0.98329	0.99442
YMR253C	YMR253C	4	52	7.85532	4.56627	0.04317	0.97337	0.99198	0.99306	0.98578	0.99324	1.01654
YMR254C	YMR254C	4	52	4.08806	2.38748	0.03338	0.99226	0.99758	1.00318	0.96980	0.98002	1.00218
GFD1	YMR255W	4	52	3.32789	1.89475	0.02784	0.98703	0.99421	0.99975	0.99760	0.99906	1.01486
COX7	YMR256C	4	50	27.54553	11.24370	0.10206	0.96043	1.02350	0.98513	0.93327	1.01131	1.03533
pet111	YMR257C	2	26	7.84093	3.34395	0.05193	0.98707	0.99140	1.01399	0.99475	0.99986	1.03900
YMR258C	YMR258C	4	52	4.00850	2.33668	0.03033	0.98235	0.99041	1.00053	0.98453	0.98548	1.01268
YMR259C	YMR259C	4	52	6.75297	3.97356	0.03050	0.97943	0.98397	1.00435	0.99453	0.99238	1.00994
TIF11	YMR260C	4	52	6.24341	3.68751	0.04510	0.98071	0.99663	1.00043	1.00790	0.99990	1.02581
TPS3	YMR261C	4	52	8.81502	5.05505	0.04358	0.99477	0.99496	1.01076	0.97041	0.98515	1.01399
YMR262W	YMR262W	4	52	2.75470	1.51384	0.03182	1.00682	1.00611	1.01483	0.98301	1.00365	1.00973
YMR263W	YMR263W	2	26	3.88916	1.83930	0.01940	0.98120	0.99251	0.99024	0.98726	1.00053	1.00060
CUE1	YMR264W	4	52	2.83185	1.56547	0.03761	0.97830	0.97902	0.99004	0.98830	0.98596	1.01591
YMR265C	YMR265C	4	52	4.22960	2.47736	0.03646	0.98119	0.97651	1.00140	0.96990	0.97715	1.00636
YMR266W	YMR266W	4	52	4.30953	2.52785	0.05473	0.94354	0.95550	0.97401	0.95423	0.96220	0.99826
ppa2	YMR267W	4	52	4.98489	2.94638	0.04765	0.98816	0.98356	0.99956	0.99591	0.99178	1.03120
PRP24	YMR268C	4	52	4.55471	2.68146	0.04079	0.97361	0.98999	0.99018	0.99690	1.00415	1.01441
YMR269W	YMR269W	4	52	5.01539	2.96494	0.02805	0.97787	0.98768	0.99655	0.99668	1.00592	0.99794
RRN9	YMR270C	4	52	2.38996	1.26893	0.02153	0.97740	0.98900	0.99893	0.98920	0.99487	0.99679
URA10	YMR271C	4	52	5.86075	3.46746	0.03879	0.97529	0.96453	1.00281	0.96402	0.96490	0.98663
SCS7	YMR272C	2	26	4.62034	2.16092	0.03286	0.96700	0.97762	0.99986	0.98024	0.97469	0.97212
ZDS1	YMR273C	4	52	5.20278	3.07830	0.05346	0.97283	0.98908	0.99481	0.97993	0.99185	1.02629
RCE1	YMR274C	4	52	4.97051	2.93762	0.02732	0.97841	0.98737	0.99756	0.99885	1.00573	1.00447
BUL1	YMR275C	4	52	7.80799	4.54152	0.03983	0.97785	0.96322	1.00305	0.98394	0.97233	1.00106
DSK2	YMR276W	4	52	2.49562	1.33997	0.02986	0.99192	0.98821	1.01108	0.98122	0.99345	1.00319
FCP1	YMR277W	4	52	2.27323	1.19043	0.02168	0.98472	0.98865	0.99727	1.00640	1.00406	1.00095
YMR278W	YMR278W	4	52	1.90462	0.94335	0.02111	0.98137	0.98563	0.99271	0.98783	1.00073	1.00249
YMR279C	YMR279C	4	52	9.65902	5.46560	0.04728	0.99429	0.98286	1.01764	0.97036	0.97987	1.01151
CAT8	YMR280C	2	26	14.43635	5.03540	0.03839	0.98105	0.99304	0.99308	0.99811	1.01944	0.99156
GPI12	YMR281W	4	52	1.56201	0.71721	0.03889	0.98744	0.97939	0.99531	0.99463	0.98461	1.01828
AEP2	YMR282C	4	52	1.72961	0.82718	0.00982	0.98521	0.99343	0.99356	0.98533	0.99503	0.99464
rit1	YMR283C	4	52	2.65254	1.44536	0.02033	0.98695	0.99321	1.00268	0.98626	0.99215	1.00659
YKU70	YMR284W	2	26	2.47414	1.14701	0.02183	0.99469	0.98435	0.99685	0.99875	1.00225	0.98042
NGL2	YMR285C	4	52	1.99979	1.00693	0.01839	0.98432	0.98869	0.99958	0.99236	0.99589	1.00270
MRPL33	YMR286W	4	52	2.19558	1.13824	0.01726	0.98257	0.98875	0.99448	0.97722	0.99415	0.99390
MSU1	YMR287C	4	52	106.40754	21.99939	0.17872	0.96629	0.90093	0.97603	0.96567	0.79731	0.85911
YMR288W	YMR288W	4	52	4.52493	2.66291	0.03582	0.97825	0.98135	0.99469	0.99988	0.98663	1.01406
YMR289W	YMR289W	2	26	2.36429	1.08937	0.02035	0.99897	1.00930	1.00760	0.98895	0.99869	0.99644
HAS1	YMR290C	2	26	8.94494	3.68180	0.04097	1.00054	0.99189	1.01904	0.97993	0.97806	0.99089
YMR290W-A	YMR290W-A	2	26	5.70088	2.59638	0.02691	0.98860	0.99801	1.00712	1.00711	1.01551	1.00265
YMR291W	YMR291W	4	52	8.79704	5.04612	0.04279	0.99436	0.98753	1.02320	0.98350	0.98042	1.02189
GOT1	YMR292W	4	52	1.77579	0.85772	0.01623	0.97991	0.98883	0.99614	0.98413	0.99446	0.99571
YMR293C	YMR293C	4	52	12.19792	6.60423	0.03652	0.97840	0.99566	0.99667	0.99931	1.00991	1.01492
JNM1	YMR294W	4	52	3.50573	2.01144	0.04028	0.97881	0.99115	0.99592	0.98514	0.99235	1.01909
YMR294W-A	YMR294W-A	3	38	7.37576	3.84028	0.04976	0.99117	1.00125	1.02570	0.97594	0.99802	1.00736
YMR295C	YMR295C	2	26	6.88882	3.02806	0.04022	0.98933	0.99069	1.01025	0.97003	0.98928	1.00404
LCB1	YMR296C	4	52	3.12303	1.75937	0.02768	0.98670	0.99304	1.00343	0.97575	0.97929	0.99081
prc1	YMR297W	2	26	14.66624	5.08312	0.04946	0.98248	0.98387	1.00752	0.95806	0.97652	0.99967
YMR298W	YMR298W	4	52	3.34549	1.90634	0.03549	0.98456	0.99154	0.99145	0.98174	0.98870	1.01723
YMR299C	YMR299C	4	52	1.03140	0.38535	0.01936	0.99544	1.00130	1.00713	1.00830	1.00783	1.01480
ade4	YMR300C	4	52	4.07260	2.37762	0.02484	0.98548	0.98390	1.00874	0.98931	0.99070	1.00285
ATM1	YMR301C	4	52	6.85625	4.03058	0.06263	0.97134	0.98733	0.98734	0.99196	0.99989	1.03396
prp12	YMR302C	2	26	1.63440	0.69536	0.01477	0.98358	0.99835	0.99762	0.99039	0.99416	0.99383
adh2	YMR303C	4	52	6.35344	3.74994	0.04134	0.99551	0.98746	1.01398	0.97264	0.98110	0.99857
YMR304C-A	YMR304C-A	2	26	9.17687	3.74931	0.05796	0.97399	0.96779	1.01781	0.98671	0.97835	1.02575
UBP15	YMR304W	3	38	16.59746	7.01667	0.11561	0.95851	0.98858	0.95933	1.00445	1.01494	1.07412
SCW10	YMR305C	4	51	6.14769	3.61076	0.05666	0.98239	0.94824	1.00491	0.98640	0.97742	1.00096
YMR306C-A	YMR306C-A	4	52	2.88182	1.59885	0.02024	0.98430	0.98727	0.99934	0.99830	1.00454	1.00239
FKS3	YMR306W	4	52	6.49462	3.82951	0.03849	0.99179	0.97541	1.01391	0.97892	0.97993	1.00965
GAS1	YMR307W	4	52	2.34303	1.23737	0.03475	0.98021	0.98274	0.99803	0.98907	0.98380	1.01497
PSE1	YMR308C	2	26	12.86415	4.69266	0.04301	0.97644	0.99427	0.99297	1.01944	1.01856	1.00974
nip1	YMR309C	2	26	69.07049	10.38308	0.13392	0.84177	0.95565	0.86833	0.84707	0.95125	0.97569
YMR310C	YMR310C	4	52	3.88088	2.25482	0.03097	0.98068	0.99354	0.99994	0.99630	1.00787	1.01165
GLC8	YMR311C	4	52	14.49109	7.52665	0.05231	0.99661	0.98338	1.01399	0.96168	0.97080	0.98231
YMR312W	YMR312W	4	49	3.74481	2.13805	0.05224	0.99841	0.99779	1.03426	0.98202	0.99280	1.00677
YMR313C	YMR313C	4	52	7.00286	4.11099	0.04911	0.97580	0.97108	1.01841	0.98123	0.96930	0.98739
PRE5	YMR314W	4	52	10.05089	5.65044	0.05248	0.97341	0.98064	1.02589	0.97825	0.98009	0.99214
YMR315W	YMR315W	4	52	2.50572	1.34677	0.01999	1.00439	0.99052	1.00892	1.00618	0.99346	1.01051
YMR316C-A	YMR316C-A	2	26	8.78851	3.63562	0.06364	1.00550	0.99756	1.01903	0.95674	0.98038	1.02038
YMR316C-B	YMR316C-B	4	52	9.27169	5.27934	0.04345	0.99624	0.99514	1.02103	0.98314	0.97758	1.00510
DIA1	YMR316W	4	52	6.66901	3.92696	0.04456	0.96417	0.97217	0.99683	0.97391	0.98357	1.00873
YMR317W	YMR317W	4	52	2.44845	1.30826	0.03056	0.98331	0.97887	0.99858	0.98284	0.97062	1.00118
YMR318C	YMR318C	4	52	2.70831	1.48276	0.03100	0.98996	0.97589	1.00587	0.98977	0.98918	1.00688
FET4	YMR319C	4	52	11.44532	6.28068	0.06591	0.98644	0.97825	1.01675	0.97369	0.95084	1.00369
YMR320W	YMR320W	4	52	2.98453	1.66734	0.03426	0.98603	0.98473	0.99175	0.96618	0.97832	1.00044
YMR322C	YMR322C	4	52	3.12958	1.76372	0.04533	1.05450	1.04683	1.02240	1.04543	1.03762	1.00918
YMR326C	YMR326C	3	39	3.52112	1.89632	0.03237	1.00857	1.01796	1.00634	1.02359	1.03610	1.00374
DOM34	YNL001W	3	39	4.64844	2.53315	0.04183	1.00147	1.00406	0.98035	1.02126	1.00746	1.02218
RLP7	YNL002C	4	52	5.29546	3.13395	0.04024	1.00151	0.99813	0.97161	1.00877	1.01185	1.00980
pet8	YNL003C	2	26	9.90358	3.95375	0.06016	1.02655	1.02684	0.97583	1.03318	1.03599	1.00126
HRB1	YNL004W	4	51	1.47160	0.65752	0.02744	0.99750	1.00753	0.99721	0.99336	0.98630	0.98009
MRP7	YNL005C	4	52	4.93884	2.91830	0.05772	1.00668	0.99609	0.99216	1.00815	0.95043	0.99972
LST8	YNL006W	3	39	0.99461	0.35883	0.02756	1.03120	1.02076	1.01242	1.01047	1.01224	1.00365
sis1	YNL007C	4	52	2.98579	1.66818	0.03381	1.02047	1.01181	0.99846	1.00837	1.00922	0.98666
YNL008C	YNL008C	4	52	4.96301	2.93305	0.03995	1.01472	0.99512	1.00029	0.97478	0.98438	0.98762
IDP3	YNL009W	4	52	0.43432	0.08510	0.01477	1.01165	1.01959	1.00482	1.01656	1.00729	1.01087
YNL010W	YNL010W	3	39	0.60529	0.15718	0.01831	1.01774	1.01558	1.01620	1.01719	1.00731	0.99943
YNL011C	YNL011C	2	26	1.70316	0.73305	0.05417	1.04746	1.04807	1.02510	1.06910	1.06277	1.01492
spo1	YNL012W	4	52	1.11560	0.43558	0.02109	1.01953	1.01077	1.00975	1.00370	0.99845	1.00152
YNL013C	YNL013C	2	26	1.89109	0.83568	0.01911	0.99481	1.00157	0.98268	1.00179	0.98316	0.99586
YNL014W	YNL014W	0	0									
PBI2	YNL015W	3	37	1.25931	0.51019	0.04528	1.01782	1.00517	0.98011	1.02539	1.01659	1.01625
PUB1	YNL016W	4	52	5.95822	3.52394	0.05804	1.00248	0.97979	0.98485	0.98198	0.94444	0.96673
YNL018C	YNL018C	4	52	0.69871	0.20243	0.02790	1.02866	1.03174	1.02589	1.02844	1.00384	1.02214
ARK1	YNL020C	4	52	2.48375	1.33200	0.03635	1.02015	1.01987	1.02550	0.98915	1.00263	1.00159
HDA1	YNL021W	2	26	3.35126	1.58731	0.03516	0.99443	0.98681	0.99221	0.99364	0.97060	1.00575
YNL022C	YNL022C	2	26	2.68537	1.25635	0.03437	1.04216	1.03446	1.02252	1.04263	1.03827	1.00826
FAP1	YNL023C	2	26	23.97405	6.64706	0.12433	0.92805	1.00265	0.90623	0.87833	0.92620	0.97129
YNL024C	YNL024C	4	52	5.03162	2.97480	0.04360	1.00586	1.00564	0.99311	1.03671	1.00933	1.03483
