,ORF,Gene,RLS_Del_alpha,N,BY4742,N.1,p.value,RLS_Del_a,N.2,BY4741,N.3,p.value.1,RLS_Del.pooled,N.4,Pooled,N.5,p.value.2
230,YHR075C,PPE1,25.7,-15,25,-25,0.68,0,0,0,0,0,25.7,-15,25,-25,6.80E-01
231,YDR075W,PPH3,23.8,-10,29.6,-10,0.044,0,0,0,0,0,23.8,-10,29.6,-10,4.40E-02
232,YDR300C,PRO1,28.8,-20,26.9,-35,0.95,0,0,0,0,0,28.8,-20,26.9,-35,9.50E-01
233,YDR055W,PST1,25.3,-15,28.5,-15,0.2,0,0,0,0,0,25.3,-15,28.5,-15,2.00E-01
234,YLR376C,PSY3,23.6,-15,23.7,-15,0.95,0,0,0,0,0,23.6,-15,23.7,-15,9.50E-01
235,YER089C,PTC2,21.8,-15,23.7,-15,0.32,0,0,0,0,0,21.8,-15,23.7,-15,3.20E-01
236,YHR076W,PTC7,24,-5,22.4,-5,0.94,0,0,0,0,0,24,-5,22.4,-5,9.40E-01
237,YKR093W,PTR2,26.8,-20,26.1,-25,0.58,26.2,-20,30.9,-20,0.093,26.5,-40,28.2,-45,4.30E-01
238,YHR037W,PUT2,22,-5,22.4,-5,1,0,0,0,0,0,22,-5,22.4,-5,1.00E+00
239,YKR090W,PXL1,23.2,-5,28.8,-5,1,0,0,0,0,0,23.2,-5,28.8,-5,1.00E+00
240,YER173W,RAD24,20,-10,22.7,-10,0.43,0,0,0,0,0,20,-10,22.7,-10,4.30E-01
241,YDR076W,RAD55,12,-10,29.6,-10,0.00066,0,0,0,0,0,12,-10,29.6,-10,6.60E-04
242,YOR101W,RAS1,30.6,-60,26.7,-75,0.038,21.5,-40,23.8,-40,0.42,26.9,-100,25.7,-115,4.30E-01
243,YHR157W,REC104,26.9,-15,25,-25,0.76,0,0,0,0,0,26.9,-15,25,-25,7.60E-01
244,YBR260C,RGD1,24.6,-10,29.6,-10,0.16,0,0,0,0,0,24.6,-10,29.6,-10,1.60E-01
245,YOR107W,RGS2,34.2,-25,25.3,-25,0.0023,23.1,-40,25.3,-60,0.13,27.3,-65,25.3,-85,5.10E-01
246,YLR453C,RIF2,23.7,-20,26.9,-30,0.27,0,0,0,0,0,23.7,-20,26.9,-30,2.70E-01
247,YDR255C,RMD5,27.5,-15,27.1,-15,0.77,0,0,0,0,0,27.5,-15,27.1,-15,7.70E-01
248,YDR257C,RMS1,27.5,-45,26.4,-45,0.83,0,0,0,0,0,27.5,-45,26.4,-45,8.30E-01
249,YDR279W,RNH202,25.1,-15,29.1,-20,0.095,0,0,0,0,0,25.1,-15,29.1,-20,9.50E-02
250,YGR070W,ROM1,24.9,-20,25.9,-65,0.48,0,0,0,0,0,24.9,-20,25.9,-65,4.80E-01
251,YLR371W,ROM2,38,-50,25.5,-50,1.8e-08,29.3,-40,25.3,-60,0.047,34.2,-90,25.4,-110,1.00E-08
252,YBR229C,ROT2,23.1,-10,29.6,-10,0.14,0,0,0,0,0,23.1,-10,29.6,-10,1.40E-01
253,YGR085C,RPL11B,27.6,-25,25,-45,0.61,0,0,0,0,0,27.6,-25,25,-45,6.10E-01
254,YLR344W,RPL26A,26.8,-40,24.3,-65,0.28,0,0,0,0,0,26.8,-40,24.3,-65,2.80E-01
255,YDL075W,RPL31A,34.8,-455,26,-375,6e-21,37.6,-120,25.7,-180,5e-17,35.4,575,25.9,555,1.80E-34
256,YDR500C,RPL37B,31.5,-40,23.3,-55,0.00012,29.7,-80,24.4,-80,0.0038,30.3,-120,23.9,-135,6.90E-06
257,YLR448W,RPL6B,29.6,-130,26,-170,0.0029,33.5,-40,25.3,-60,0.00011,30.5,-170,25.8,-230,9.80E-06
258,YLR441C,RPS1A,29.9,-50,27,-70,0.37,26,-40,25.3,-60,0.6,28.1,-90,26.2,-130,7.10E-01
259,YKR057W,RPS21A,28.5,-40,26.4,-95,0.59,27.4,-60,26.4,-80,0.99,27.9,-100,26.4,-175,7.60E-01
260,YLR367W,RPS22B,26.4,-35,25,-75,0.83,23.3,-40,25.3,-60,0.09,24.7,-75,25.1,-135,2.90E-01
261,YGR118W,RPS23A,26.8,-45,26.4,-65,0.34,0,0,0,0,0,26.8,-45,26.4,-65,3.40E-01
262,YHR021C,RPS27B,21.2,-35,27,-45,0.0042,0,0,0,0,0,21.2,-35,27,-45,4.20E-03
263,YOR167C,RPS28A,26.7,-35,26.4,-45,0.68,0,0,0,0,0,26.7,-35,26.4,-45,6.80E-01
264,YLR388W,RPS29A,24.1,-40,24.9,-70,0.84,19.7,-20,24.2,-20,0.09,22.6,-60,24.7,-90,1.70E-01
265,YOR182C,RPS30B,24.3,-15,28.8,-25,0.17,0,0,0,0,0,24.3,-15,28.8,-25,1.70E-01
266,YHR038W,RRF1,23.8,-5,22.4,-5,0.64,0,0,0,0,0,23.8,-5,22.4,-5,6.40E-01
267,YHR031C,RRM3,18.2,-25,25.7,-45,0.00039,22.8,-20,30.7,-40,0.047,20.2,-45,28,-85,1.60E-04
