gene	orf	no. of probes	measurments	F-statistic	-log(p-value)	difference	YPD	YPDGE	YPE	YPL	YPG
YBL009W	YBL009W	4	44	1.08037	0.41896	0.01141	0.99402	0.98805	0.99122	0.99889	0.98747
YBL010C	YBL010C	4	44	0.80834	0.27711	0.02355	0.97104	0.96907	0.99262	0.98723	0.97602
SCT1	YBL011W	2	22	150.14597	11.17899	0.36887	0.93016	0.86863	0.56129	0.56895	0.56849
YBL012C	YBL012C	4	40	0.35991	0.07823	0.02037	0.98644	0.98191	0.99886	0.99317	0.97850
FMT1	YBL013W	2	22	2.05330	0.85960	0.06643	1.00263	0.97152	0.99566	1.02964	0.96321
RRN6	YBL014C	1	6	0.00000	0.00000	0.17585	0.79475	0.76951	0.72598	0.74286	0.90183
ACH1	YBL015W	4	44	4.48372	2.30361	0.05531	1.00121	1.00241	1.04343	1.05651	1.00122
FUS3	YBL016W	4	44	0.32741	0.06669	0.02283	0.99295	0.99035	1.00346	0.98536	0.98064
pep1	YBL017C	2	20	0.74111	0.23607	0.04466	1.02516	1.00771	1.01958	1.01709	0.98050
POP8	YBL018C	4	44	0.73983	0.24318	0.02599	1.00784	1.02391	1.03383	1.02549	1.00900
APN2	YBL019W	3	33	1.00321	0.37214	0.02232	0.99245	0.99326	0.98161	0.97093	0.99258
rft1	YBL020W	4	44	1.36614	0.57586	0.03248	0.99772	1.00716	1.01479	1.00977	0.98231
HAP3	YBL021C	2	15	6.58302	1.92107	0.24007	0.86500	0.76127	0.62493	0.64010	0.72327
PIM1	YBL022C	2	12	12.58846	2.09534	0.18637	0.79769	0.74462	0.71800	0.69543	0.88180
mcm2	YBL023C	3	31	7.30174	3.22281	0.08863	0.96500	0.99623	1.05291	1.05363	0.98456
NCL1	YBL024W	2	22	0.86547	0.29502	0.06747	1.01777	1.04257	1.07118	1.05327	1.00371
RRN10	YBL025W	4	44	0.72580	0.23634	0.01822	0.96793	0.98519	0.97533	0.98615	0.98494
LSM2	YBL026W	2	22	0.41699	0.10027	0.03514	1.00904	0.99557	0.98339	1.00175	0.97391
RPL19B	YBL027W	4	44	10.86764	5.10702	0.10734	0.90771	0.90873	1.00987	1.01505	0.98970
YBL028C	YBL028C	2	22	3.10456	1.32147	0.09682	1.04665	1.05725	1.14347	1.12906	1.05468
YBL029W	YBL029W	2	22	1.40038	0.55080	0.07711	1.02508	1.05137	1.08937	1.07649	1.01227
pet9	YBL030C	3	33	0.76841	0.25500	0.02386	1.02538	1.02446	1.04658	1.04163	1.02272
SHE1	YBL031W	2	22	0.72396	0.22985	0.02748	0.95696	0.97732	0.95275	0.94984	0.95047
YBL032W	YBL032W	4	44	2.77383	1.37577	0.05559	0.94447	0.92121	0.88888	0.90405	0.92491
rib1	YBL033C	2	22	1.41946	0.55997	0.04902	0.95499	0.97236	0.92333	0.92468	0.96770
STU1	YBL034C	4	44	1.26803	0.52136	0.02416	0.97972	0.97312	0.96403	0.95556	0.96597
POL12	YBL035C	4	44	0.44023	0.10866	0.02373	0.99005	1.00466	1.00196	0.99313	0.98093
YBL036C	YBL036C	3	33	1.10518	0.42479	0.04159	1.01304	1.00247	1.04406	1.02596	1.00312
APL3	YBL037W	4	44	3.33959	1.69109	0.05828	1.00698	1.02856	1.05884	1.04369	1.00056
MRPL16	YBL038W	4	44	1.06967	0.41321	0.02859	0.99169	0.99559	0.99463	1.00183	0.97324
URA7	YBL039C	4	44	0.70540	0.22648	0.01588	0.98662	0.99085	0.99859	0.98468	0.98271
ERD2	YBL040C	4	44	0.41530	0.09886	0.01459	0.98807	0.99932	1.00140	0.99501	0.98681
PRE7	YBL041W	4	44	0.67102	0.21008	0.03345	1.01304	1.01052	1.01830	1.02693	0.99348
FUI1	YBL042C	4	44	0.18070	0.02371	0.01058	0.98210	0.98819	0.99070	0.98583	0.98012
ECM13	YBL043W	2	22	0.18359	0.02534	0.01416	0.99191	1.00607	0.99786	0.99202	1.00318
YBL044W	YBL044W	2	22	7.83595	2.89089	0.07910	0.99997	0.99657	1.06739	1.07567	1.03217
COR1	YBL045C	4	44	0.66540	0.20742	0.02397	0.98850	0.99157	0.97143	0.97687	0.96761
YBL046W	YBL046W	4	44	9.81677	4.70691	0.09704	0.99291	1.00867	1.06866	1.08994	1.05835
YBL047C	YBL047C	4	28	17.82778	5.50189	0.27199	0.79611	0.66255	0.53701	0.52412	0.70128
YBL048W	YBL048W	2	22	1.24020	0.47369	0.07087	1.04065	1.06091	1.09491	1.09877	1.02789
YBL049W	YBL049W	2	22	0.43002	0.10525	0.03577	0.99461	1.00095	0.99919	1.00722	0.97144
SEC17	YBL050W	4	44	2.45279	1.19398	0.05339	1.01476	1.01685	1.04602	1.06206	1.00867
YBL051C	YBL051C	4	44	1.14468	0.45374	0.03384	1.00577	0.98849	0.97306	0.97192	0.97573
SAS3	YBL052C	3	33	0.57551	0.16560	0.03564	1.01803	1.03839	1.03621	1.03350	1.00275
YBL053W	YBL053W	2	22	0.46613	0.11936	0.02458	0.94273	0.95250	0.93895	0.92792	0.94344
YBL054W	YBL054W	3	33	0.22090	0.03422	0.01330	0.95696	0.96463	0.95656	0.95133	0.95535
YBL055C	YBL055C	2	22	0.13579	0.01477	0.01298	0.97499	0.97842	0.97315	0.96545	0.97735
PTC3	YBL056W	4	44	3.98630	2.04173	0.04059	0.94104	0.95660	0.91612	0.91601	0.93886
YBL057C	YBL057C	3	33	0.04130	0.00151	0.00773	0.99717	0.99518	0.99993	0.99303	0.99220
SHP1	YBL058W	2	21	1.96920	0.81040	0.07801	1.04599	1.04328	1.12129	1.08927	1.04754
YBL059W	YBL059W	3	33	0.32047	0.06472	0.01665	1.00410	1.01975	1.01142	1.01155	1.00310
YBL060W	YBL060W	3	32	0.98530	0.36223	0.03140	0.96773	0.96602	0.99128	0.95987	0.96849
SKT5	YBL061C	4	44	0.19867	0.02808	0.01558	0.98242	0.98835	0.97561	0.97277	0.97823
YBL062W	YBL062W	4	44	3.58238	1.82403	0.03934	0.96287	0.96892	0.98506	1.00221	0.98644
KIP1	YBL063W	2	22	0.82699	0.27710	0.04296	0.98526	1.02365	1.02823	1.02040	0.99881
YBL064C	YBL064C	4	44	1.88631	0.87054	0.04044	0.98067	0.97255	0.94023	0.94486	0.95411
YBL065W	YBL065W	4	44	0.37676	0.08426	0.02642	0.94046	0.94290	0.91648	0.93833	0.93149
SEF1	YBL066C	4	44	1.92009	0.88985	0.03596	1.01138	1.00643	0.97542	0.98204	0.98500
UBP13	YBL067C	4	44	0.04335	0.00162	0.00846	0.94926	0.94886	0.94633	0.95479	0.95089
PRS4	YBL068W	4	44	0.48546	0.12711	0.02977	1.01202	1.01875	1.03592	1.04179	1.02456
AST1	YBL069W	3	25	28.45776	6.60918	0.26657	0.76603	0.67666	0.49946	0.57097	0.65882
YBL070C	YBL070C	2	22	0.37941	0.08627	0.04142	1.03368	1.03731	1.00812	1.04954	1.02355
YBL071C	YBL071C	3	33	0.85141	0.29560	0.03766	0.97957	0.98364	0.95929	0.98039	0.94598
RPS8A	YBL072C	2	22	0.20372	0.03041	0.02194	0.98944	0.99103	0.98820	1.01014	0.99466
YBL073W	YBL073W	4	44	0.13697	0.01434	0.01668	0.96786	0.96628	0.96715	0.98288	0.96619
aar2	YBL074C	4	44	9.64756	4.64055	0.06777	0.97147	0.95345	0.90371	0.93547	0.96116
SSA3	YBL075C	0	0								
ils1	YBL076C	4	44	4.46765	2.29526	0.05793	0.93662	0.94184	0.88410	0.90222	0.94203
YBL077W	YBL077W	3	33	0.33449	0.06951	0.01528	0.96966	0.97738	0.97566	0.96469	0.97997
AUT7	YBL078C	4	44	0.36414	0.07965	0.01572	0.98544	0.99480	1.00117	0.99075	0.98672
NUP170	YBL079W	4	44	0.84276	0.29447	0.02050	0.95504	0.94865	0.93453	0.93925	0.95164
PET112	YBL080C	3	33	5.95083	2.78031	0.06674	0.99728	1.00317	1.05716	1.06402	1.01405
YBL081W	YBL081W	2	22	0.26327	0.04723	0.02270	1.02347	1.01272	1.01164	1.01164	1.00077
RHK1	YBL082C	2	22	2.83925	1.20952	0.02931	0.98163	0.96820	0.95232	0.95641	0.96783
YBL083C	YBL083C	3	33	1.76730	0.77719	0.05326	0.93588	0.92542	0.95750	0.90425	0.94714
cdc27	YBL084C	4	44	3.96166	2.02857	0.05705	1.03931	1.03142	1.08847	1.07920	1.03536
BOI1	YBL085W	2	22	1.13839	0.42472	0.04039	0.98335	0.98228	0.99981	1.01799	0.97760
YBL086C	YBL086C	4	38	5.57485	2.72836	0.09343	1.00637	0.98909	0.95136	0.99845	0.91294
RPL23A	YBL087C	2	14	20.26871	3.22364	0.27974	0.84526	0.72528	0.56552	0.58367	0.75808
tel1	YBL088C	3	29	1.66457	0.70837	0.06400	1.02809	1.03304	1.07092	1.09209	1.04473
YBL089W	YBL089W	4	44	0.31157	0.06134	0.02273	1.02342	1.00638	1.01904	1.01703	1.00069
